LocationTitle,AddressStreetInfo,City,State,Zipcode,Details,Latitude,Longitude,GroupTitle,Day,Start,End,Meeting_Type
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,08,"reality check",Saturdays,5:00 PM,6:00 PM,OD
"Our Lady of Lourdes Church",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,08,"uptown big book workshop",Saturdays,9:30 AM,11:00 AM,BB
"St. Phillip Church",204 West 134th Street,New York,NY,10030,"204 West 134th Street,1st Floor,Betw 7th & 8th Avenues,10030",40.8147959,-73.9448542,08,"convent",Saturdays,11:30 AM,1:00 PM,OD
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,08,"fellowship at noon",Mondays,12:15 PM,1:15 PM,B
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,08,"fellowship at noon",Wednesdays,12:15 PM,1:15 PM,S
"Spiritual Renewal Church",2044 Adam Clayton Powell Blvd.,New York,NY,10027,"2044 Adam Clayton Powell Blvd.,@ 122nd Street,NY 10027",40.8072583,-73.9499047,08,"fellowship at noon",Fridays,12:15 PM,1:15 PM,OD
"469 West 142nd Street",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,1st Floor,Betw. Amsterdam & Convent Avenues,10031",40.8232166,-73.9484769,08,"grupo trasmitelo",Thursdays,8:00 PM,9:00 PM,B
"St. Mary's Episcopal",521 West 126th St,New York,NY,10027,"521 West 126th St,Amsterdam & Old Broadway 10027",40.8148408,-73.9561515,08,"harlem humanists",Mondays,12:00 PM,1:00 PM,O
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,08,"k.i.s.s.",Sundays,5:30 PM,6:30 PM,S
"SRO Building Community Room",109 West 129th Street,New York,NY,10027,"109 West 129th Street,Basement,Betw Lenox Avenue & Adam Clayton Powell Blvd,NY 10027",40.8106798,-73.944244,08,"k.i.s.s.",Sundays,7:00 PM,8:00 PM,B
"Our Lady of Lourdes",469 West 142nd Street,New York,NY,10031,"469 West 142nd Street,Basement,Betw Convent & Amsterdam Avenues,NY 10031",40.8232166,-73.9484769,08,"learning to live sober",Thursdays,6:00 PM,7:00 PM,BB
"2044 Seventh Avenue",2044 Seventh Avenue,New York,NY,10027,"2044 Seventh Avenue,NY 10027",40.8071759186691,-73.9497519327616,08,"living clean and sober on 121st street",Sundays,6:00 PM,7:30 PM,B
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,08,"meditation comes to harlem",Mondays,4:30 PM,5:30 PM,C
"S.A.G.E.",127 West 127th Street,New York,NY,10027,"127 West 127th Street,Betw. 7th and Lenox,NY 10027",40.7467107,-73.9935208,08,"abingdon square in chelsea",Wednesdays,8:00 PM,9:00 PM,OD
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,08,"mid-harlem",Mondays,7:00 PM,8:00 PM,S
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,08,"mid-harlem",Fridays,7:00 PM,8:00 PM,B
"Grace Congregational Baptist Church",310 West 139th Street,New York,NY,10037,"310 West 139th Street,Basement,Betw Eighth & Edgecombe Avenues,NY 10037",40.8192096,-73.9453784,08,"mid-harlem",Fridays,8:00 PM,9:00 PM,O
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,08,"monday night challenge",Mondays,7:00 PM,8:00 PM,B
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,08,"park bench   (:ii)",Wednesdays,12:30 PM,1:30 PM,C
"St. James Church",409 West 141st Street,New York,NY,10031,"409 West 141st Street,Basement,@ St. Nicholas Avenue,NY 10031",40.7713251,-73.9655852,08,"park bench   (:ii)",Thursdays,12:30 PM,1:30 PM,C
